name,sex,age,height,weight,team,year,season,sport,event,medal,country
Ronny Ackermann,M,24.0,184.0,69.0,Germany,2002.0,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver,Germany
Ronny Ackermann,M,28.0,184.0,69.0,Germany,2006.0,Winter,Nordic Combined,Nordic Combined Men's Team,Silver,Germany
Lautaro Germn Acosta,M,20.0,168.0,72.0,Argentina,2008.0,Summer,Football,Football Men's Football,Gold,Argentina
Osmay Acosta Duarte,M,23.0,188.0,91.0,Cuba,2008.0,Summer,Boxing,Boxing Men's Heavyweight,Bronze,Cuba
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,Canada,2006.0,Winter,Curling,Curling Men's Curling,Gold,Canada
Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,2012.0,Summer,Boxing,Boxing Women's Flyweight,Gold,Great Britain
Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,2016.0,Summer,Boxing,Boxing Women's Flyweight,Gold,Great Britain
Rachael Alexis Adams,F,26.0,188.0,81.0,United States,2016.0,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,United States
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Great Britain,2014.0,Winter,Curling,Curling Women's Curling,Bronze,Great Britain
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,2008.0,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,2012.0,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,2016.0,Summer,Athletics,Athletics Women's Shot Put,Silver,New Zealand
Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,2012.0,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Germany
Olubayo Adefemi,M,22.0,181.0,82.0,Nigeria,2008.0,Summer,Football,Football Men's Football,Silver,Nigeria
"Ayodele ""Dele"" Adeleye",M,19.0,190.0,80.0,Nigeria,2008.0,Summer,Football,Football Men's Football,Silver,Nigeria
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,2012.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,Germany-2,2010.0,Winter,Bobsleigh,Bobsleigh Men's Two,Silver,Germany
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,2008.0,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold,Great Britain
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,2008.0,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold,Great Britain
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012.0,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze,Great Britain
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012.0,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze,Great Britain
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,United States,2008.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,United States
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012.0,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold,United States
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,United States
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,United States
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016.0,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze,United States
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016.0,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze,United States
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,United States
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,United States
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,Russia
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,Russia,2002.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Russia
Cecil Sebastian Afrika,M,28.0,175.0,75.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
Luca Agamennoni,M,24.0,187.0,93.0,Italy,2004.0,Summer,Rowing,Rowing Men's Coxless Fours,Bronze,Italy
Luca Agamennoni,M,27.0,187.0,93.0,Italy,2008.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver,Italy
Clarisse Agbegnenou,F,23.0,164.0,66.0,France,2016.0,Summer,Judo,Judo Women's Half-Middleweight,Silver,France
Marilyn Agliotti,F,29.0,172.0,58.0,Netherlands,2008.0,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands
Marilyn Agliotti,F,33.0,172.0,58.0,Netherlands,2012.0,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands
Yannick Agnel,M,20.0,202.0,90.0,France,2012.0,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold,France
Yannick Agnel,M,20.0,202.0,90.0,France,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,France
Yannick Agnel,M,20.0,202.0,90.0,France,2012.0,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,France
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Canada,2006.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Canada,2010.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
