name,sex,age,height,weight,team,year,season,sport,event,medal,country
Jessica Phyllis Ennis-Hill,F,30.0,165.0,57.0,Great Britain,2016.0,Summer,Athletics,Athletics Women's Heptathlon,Silver,Great Britain
Adam Enright,M,26.0,178.0,79.0,Canada,2010.0,Winter,Curling,Curling Men's Curling,Gold,Canada
Sergi Enrique Montserrat,M,20.0,174.0,69.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Jorge Enrquez Garca,M,21.0,189.0,74.0,Mexico,2012.0,Summer,Football,Football Men's Football,Gold,Mexico
Michel Enrquez Tamayo,M,25.0,175.0,80.0,Cuba,2004.0,Summer,Baseball,Baseball Men's Baseball,Gold,Cuba
Michel Enrquez Tamayo,M,29.0,175.0,80.0,Cuba,2008.0,Summer,Baseball,Baseball Men's Baseball,Silver,Cuba
Alberto Entrerros Rodrguez,M,31.0,192.0,100.0,Spain,2008.0,Summer,Handball,Handball Men's Handball,Bronze,Spain
Ral Entrerros Rodrguez,M,27.0,193.0,92.0,Spain,2008.0,Summer,Handball,Handball Men's Handball,Bronze,Spain
Gwladys Patience pangue,F,24.0,178.0,88.0,France,2008.0,Summer,Taekwondo,Taekwondo Women's Welterweight,Bronze,France
Martin Erat,M,24.0,182.0,90.0,Czech Republic,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Czechia
Susi-Lisa Erdmann (-Plankensteiner),F,34.0,187.0,80.0,Germany-2,2002.0,Winter,Bobsleigh,Bobsleigh Women's Two,Bronze,Germany
Alexandra Georgiana Maria Eremia,F,17.0,149.0,38.0,Romania,2004.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold,Romania
Alexandra Georgiana Maria Eremia,F,17.0,149.0,38.0,Romania,2004.0,Summer,Gymnastics,Gymnastics Women's Balance Beam,Bronze,Romania
Fie Udby Erichsen,F,27.0,184.0,79.0,Denmark,2012.0,Summer,Rowing,Rowing Women's Single Sculls,Silver,Denmark
Sven Jimmie Ericsson,M,33.0,187.0,94.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
Dan Ola Jonathan Ericsson (Marklund-),M,29.0,195.0,102.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
rika Cristiano dos Santos,F,20.0,172.0,55.0,Brazil,2008.0,Summer,Football,Football Women's Football,Silver,Brazil
Jens Dyrlv Eriksen,M,34.0,191.0,83.0,Denmark-2,2004.0,Summer,Badminton,Badminton Mixed Doubles,Bronze,Denmark
Carl Wilhelm Loui Eriksson,M,28.0,188.0,89.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
"Magdalena ""Magda"" Eriksson",F,22.0,172.0,66.0,Sweden,2016.0,Summer,Football,Football Women's Football,Silver,Sweden
Ulf Peter Tobias Eriksson,M,44.0,176.0,66.0,Sweden,2004.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,Sweden
Saturday Keigo Erimuya,M,18.0,171.0,73.0,Nigeria,2016.0,Summer,Football,Football Men's Football,Bronze,Nigeria
Nadine Ernsting-Krienke,F,30.0,172.0,67.0,Germany,2004.0,Summer,Hockey,Hockey Women's Hockey,Gold,Germany
eref Erolu,M,28.0,167.0,66.0,Turkey,2004.0,Summer,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,Turkey
Arianna Errigo,F,24.0,180.0,68.0,Italy,2012.0,Summer,Fencing,"Fencing Women's Foil, Individual",Silver,Italy
Arianna Errigo,F,24.0,180.0,68.0,Italy,2012.0,Summer,Fencing,"Fencing Women's Foil, Team",Gold,Italy
Martina Maria Ertl-Renz,F,28.0,162.0,59.0,Germany,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Combined,Bronze,Germany
Anthony Lee Ervin,M,35.0,191.0,80.0,United States,2016.0,Summer,Swimming,Swimming Men's 50 metres Freestyle,Gold,United States
Anthony Lee Ervin,M,35.0,191.0,80.0,United States,2016.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,United States
"Srgio ""Escadinha"" Dutra dos Santos",M,28.0,184.0,78.0,Brazil,2004.0,Summer,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
"Srgio ""Escadinha"" Dutra dos Santos",M,32.0,184.0,78.0,Brazil,2008.0,Summer,Volleyball,Volleyball Men's Volleyball,Silver,Brazil
"Srgio ""Escadinha"" Dutra dos Santos",M,36.0,184.0,78.0,Brazil,2012.0,Summer,Volleyball,Volleyball Men's Volleyball,Silver,Brazil
"Srgio ""Escadinha"" Dutra dos Santos",M,40.0,184.0,78.0,Brazil,2016.0,Summer,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
Sergi Escobar Roure,M,29.0,179.0,74.0,Spain,2004.0,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,Spain
Sergi Escobar Roure,M,29.0,179.0,74.0,Spain,2004.0,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Spain
Jos Antonio Escuredo Raimndez,M,34.0,179.0,90.0,Spain,2004.0,Summer,Cycling,Cycling Men's Keirin,Silver,Spain
Anna Espar Llaquet,F,19.0,180.0,66.0,Spain,2012.0,Summer,Water Polo,Water Polo Women's Water Polo,Silver,Spain
Marlen Esparza Puentes,F,22.0,160.0,51.0,United States,2012.0,Summer,Boxing,Boxing Women's Flyweight,Bronze,United States
Jaime Yusept Espinal Fajardo,M,27.0,178.0,86.0,Puerto Rico,2012.0,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,Puerto Rico
Carlos Mauricio Espnola Lorenzo,M,32.0,175.0,72.0,Argentina,2004.0,Summer,Sailing,Sailing Mixed Multihull,Bronze,Argentina
Carlos Mauricio Espnola Lorenzo,M,36.0,175.0,72.0,Argentina,2008.0,Summer,Sailing,Sailing Mixed Multihull,Bronze,Argentina
Paola Milagros Espinosa Snchez,F,22.0,156.0,48.0,Mexico,2008.0,Summer,Diving,Diving Women's Synchronized Platform,Bronze,Mexico
Paola Milagros Espinosa Snchez,F,25.0,156.0,48.0,Mexico,2012.0,Summer,Diving,Diving Women's Synchronized Platform,Silver,Mexico
Mara del Rosario Espinoza Espinoza,F,20.0,173.0,70.0,Mexico,2008.0,Summer,Taekwondo,Taekwondo Women's Heavyweight,Gold,Mexico
Mara del Rosario Espinoza Espinoza,F,24.0,173.0,70.0,Mexico,2012.0,Summer,Taekwondo,Taekwondo Women's Heavyweight,Bronze,Mexico
Mara del Rosario Espinoza Espinoza,F,28.0,173.0,70.0,Mexico,2016.0,Summer,Taekwondo,Taekwondo Women's Heavyweight,Silver,Mexico
Chloe Esposito,F,24.0,168.0,55.0,Australia,2016.0,Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold,Australia
Celso Esquivel Gonzlez,M,23.0,182.0,72.0,Paraguay,2004.0,Summer,Football,Football Men's Football,Silver,Paraguay
Tony Estanguet,M,26.0,185.0,75.0,France,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold,France
Tony Estanguet,M,34.0,185.0,75.0,France,2012.0,Summer,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold,France
Ester Aperecida dos Santos,F,25.0,164.0,56.0,Brazil,2008.0,Summer,Football,Football Women's Football,Silver,Brazil
Laura Ester Ramos,F,22.0,170.0,58.0,Spain,2012.0,Summer,Water Polo,Water Polo Women's Water Polo,Silver,Spain
Ellen Marie Estes (-Lee),F,25.0,182.0,77.0,United States,2004.0,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,United States
Frode Estil,M,29.0,188.0,82.0,Norway,2002.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver,Norway
Frode Estil,M,29.0,188.0,82.0,Norway,2002.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold,Norway
Frode Estil,M,29.0,188.0,82.0,Norway,2002.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,Norway
Frode Estil,M,33.0,188.0,82.0,Norway,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver,Norway
Oghenekaro Peter Etebo,M,20.0,172.0,71.0,Nigeria,2016.0,Summer,Football,Football Men's Football,Bronze,Nigeria
Gemma Etheridge,F,29.0,169.0,66.0,Australia,2016.0,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Australia
Ophlie-Cyrielle Etienne,F,21.0,175.0,57.0,France,2012.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,France
Johan Magnus Eurn,M,27.0,192.0,120.0,Sweden,2012.0,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Sweden
Aja L. Evans,F,25.0,178.0,77.0,United States-2,2014.0,Winter,Bobsleigh,Bobsleigh Women's Two,Bronze,United States
Blair Catherine Evans,F,21.0,175.0,65.0,Australia,2012.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Australia
"Freddie William ""Fred"" Evans",M,21.0,180.0,78.0,Great Britain,2012.0,Summer,Boxing,Boxing Men's Welterweight,Silver,Great Britain
Johan Remen Evensen,M,24.0,179.0,73.0,Norway,2010.0,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze,Norway
Floris Maarten Alphons Maria Evers,M,21.0,189.0,83.0,Netherlands,2004.0,Summer,Hockey,Hockey Men's Hockey,Silver,Netherlands
Floris Maarten Alphons Maria Evers,M,29.0,189.0,83.0,Netherlands,2012.0,Summer,Hockey,Hockey Men's Hockey,Silver,Netherlands
Meike Evers,F,27.0,185.0,76.0,Germany,2004.0,Summer,Rowing,Rowing Women's Quadruple Sculls,Gold,Germany
Caroline Frances Evers-Swindell (-Meyer),F,25.0,178.0,76.0,New Zealand,2004.0,Summer,Rowing,Rowing Women's Double Sculls,Gold,New Zealand
Caroline Frances Evers-Swindell (-Meyer),F,29.0,178.0,76.0,New Zealand,2008.0,Summer,Rowing,Rowing Women's Double Sculls,Gold,New Zealand
Georgina Emma Buchanan Evers-Swindell (-Earl),F,25.0,178.0,78.0,New Zealand,2004.0,Summer,Rowing,Rowing Women's Double Sculls,Gold,New Zealand
Georgina Emma Buchanan Evers-Swindell (-Earl),F,29.0,178.0,78.0,New Zealand,2008.0,Summer,Rowing,Rowing Women's Double Sculls,Gold,New Zealand
Nelson vora,M,24.0,183.0,76.0,Portugal,2008.0,Summer,Athletics,Athletics Men's Triple Jump,Gold,Portugal
Imoh Ezekiel,M,22.0,171.0,80.0,Nigeria,2016.0,Summer,Football,Football Men's Football,Bronze,Nigeria
Massimo Fabbrizi,M,34.0,177.0,110.0,Italy,2012.0,Summer,Shooting,Shooting Men's Trap,Silver,Italy
"Fabiana ""Fabi"" Alvim de Oliveira",F,28.0,169.0,59.0,Brazil,2008.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
"Fabiana ""Fabi"" Alvim de Oliveira",F,32.0,169.0,59.0,Brazil,2012.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
Marco Jhonfai Fabin de la Mora,M,23.0,172.0,69.0,Mexico,2012.0,Summer,Football,Football Men's Football,Gold,Mexico
Fabiana da Silva Simes,F,19.0,161.0,56.0,Brazil,2008.0,Summer,Football,Football Women's Football,Silver,Brazil
Fabiana Marcelino Claudino,F,23.0,193.0,76.0,Brazil,2008.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
Fabiana Marcelino Claudino,F,27.0,193.0,76.0,Brazil,2012.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
Fbio Luiz de Jesus Magalhes,M,29.0,204.0,101.0,Brazil-1,2008.0,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil
Vesna Fabjan,F,28.0,170.0,62.0,Slovenia,2014.0,Winter,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze,Slovenia
"Alexandre ""Alex"" Fbregas Carne",M,27.0,184.0,83.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
"Francisco ""Kiko"" Fbregas Monegal",M,30.0,182.0,78.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Ludovic Fabregas,M,20.0,198.0,100.0,France,2016.0,Summer,Handball,Handball Men's Handball,Silver,France
Enrico Fabris,M,24.0,189.0,80.0,Italy,2006.0,Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,Italy
Enrico Fabris,M,24.0,189.0,80.0,Italy,2006.0,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze,Italy
Enrico Fabris,M,24.0,189.0,80.0,Italy,2006.0,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold,Italy
Andrea Facchin,M,29.0,182.0,79.0,Italy,2008.0,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Italy
Simone Facey,F,31.0,162.0,53.0,Jamaica,2016.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,Jamaica
Jakov Fak,M,22.0,181.0,80.0,Croatia,2010.0,Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze,Croatia
Natlia Falavigna Silva,F,24.0,178.0,69.0,Brazil,2008.0,Summer,Taekwondo,Taekwondo Women's Heavyweight,Bronze,Brazil
Marinella Falca,F,18.0,167.0,50.0,Italy,2004.0,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Italy
Yamaguchi Falco Florentino,M,24.0,181.0,77.0,Brazil,2012.0,Summer,Boxing,Boxing Men's Light-Heavyweight,Bronze,Brazil
Dana Faletic,F,27.0,178.0,74.0,Australia,2004.0,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze,Australia
Maiken Caspersen Falla,F,23.0,162.0,73.0,Norway,2014.0,Winter,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold,Norway
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,32.0,190.0,74.0,Australia,2004.0,Summer,Basketball,Basketball Women's Basketball,Silver,Australia
Fan Kexin,F,20.0,170.0,55.0,China,2014.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Silver,China
Fan Yilin,F,16.0,148.0,37.0,China,2016.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze,China
Fang Yuting,F,22.0,170.0,62.0,China,2012.0,Summer,Archery,Archery Women's Team,Silver,China
ime Fantela,M,30.0,183.0,67.0,Croatia,2016.0,Summer,Sailing,Sailing Men's Two Person Dinghy,Gold,Croatia
"Mohamed Muktar Jama ""Mo"" Farah",M,29.0,175.0,58.0,Great Britain,2012.0,Summer,Athletics,"Athletics Men's 5,000 metres",Gold,Great Britain
"Mohamed Muktar Jama ""Mo"" Farah",M,29.0,175.0,58.0,Great Britain,2012.0,Summer,Athletics,"Athletics Men's 10,000 metres",Gold,Great Britain
"Mohamed Muktar Jama ""Mo"" Farah",M,33.0,175.0,58.0,Great Britain,2016.0,Summer,Athletics,"Athletics Men's 5,000 metres",Gold,Great Britain
"Mohamed Muktar Jama ""Mo"" Farah",M,33.0,175.0,58.0,Great Britain,2016.0,Summer,Athletics,"Athletics Men's 10,000 metres",Gold,Great Britain
Bianca Farella,F,24.0,173.0,73.0,Canada,2016.0,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze,Canada
Margaux Farrell,F,21.0,183.0,71.0,France,2012.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,France
Kaitlyn Brooke Farrington,F,24.0,163.0,57.0,United States,2014.0,Winter,Snowboarding,Snowboarding Women's Halfpipe,Gold,United States
Kent Farrington,M,35.0,173.0,66.0,United States,2016.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,United States
Olusoji Adetokumbo Fasuba,M,20.0,175.0,78.0,Nigeria,2004.0,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Nigeria
Steffen Fth,M,26.0,199.0,97.0,Germany,2016.0,Summer,Handball,Handball Men's Handball,Bronze,Germany
Olga Aleksandrovna Fatkulina,F,24.0,172.0,62.0,Russia,2014.0,Winter,Speed Skating,Speed Skating Women's 500 metres,Silver,Russia
Rachel Fattal,F,22.0,173.0,65.0,United States,2016.0,Summer,Water Polo,Water Polo Women's Water Polo,Gold,United States
Joy Lynn Fawcett (Biefeld-),F,36.0,165.0,59.0,United States,2004.0,Summer,Football,Football Women's Football,Gold,United States
Krisztina Fazekas Zur,F,31.0,172.0,64.0,Hungary,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Hungary
Krisztina Fazekas Zur,F,36.0,172.0,64.0,Hungary,2016.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Hungary
Federico Julin Fazio,M,21.0,195.0,85.0,Argentina,2008.0,Summer,Football,Football Men's Football,Gold,Argentina
Roger Federer,M,26.0,185.0,80.0,Switzerland,2008.0,Summer,Tennis,Tennis Men's Doubles,Gold,Switzerland
Roger Federer,M,30.0,185.0,80.0,Switzerland,2012.0,Summer,Tennis,Tennis Men's Singles,Silver,Switzerland
Aleksandra Andreyevna Fedoriva,F,19.0,176.0,60.0,Russia,2008.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Russia
Aleksandr Sergeyevich Fedorov,M,23.0,198.0,92.0,Russia,2004.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Russia
Sergey Anatolyevich Fedorovtsev,M,24.0,195.0,90.0,Russia,2004.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Russia
Vasyl Petrovych Fedoryshyn,M,27.0,169.0,60.0,Ukraine,2008.0,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Ukraine
Alessandro Fei,M,25.0,204.0,90.0,Italy,2004.0,Summer,Volleyball,Volleyball Men's Volleyball,Silver,Italy
Alessandro Fei,M,33.0,204.0,90.0,Italy,2012.0,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,Italy
"James ""Jimmy"" Feigen",M,22.0,196.0,98.0,United States,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,United States
"James ""Jimmy"" Feigen",M,26.0,196.0,98.0,United States,2016.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,United States
Felipe Anderson Perieira Gomes,M,23.0,178.0,66.0,Brazil,2016.0,Summer,Football,Football Men's Football,Gold,Brazil
Allyson Michelle Felix,F,18.0,168.0,56.0,United States,2004.0,Summer,Athletics,Athletics Women's 200 metres,Silver,United States
Allyson Michelle Felix,F,22.0,168.0,56.0,United States,2008.0,Summer,Athletics,Athletics Women's 200 metres,Silver,United States
Allyson Michelle Felix,F,22.0,168.0,56.0,United States,2008.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,United States
Allyson Michelle Felix,F,26.0,168.0,56.0,United States,2012.0,Summer,Athletics,Athletics Women's 200 metres,Gold,United States
Allyson Michelle Felix,F,26.0,168.0,56.0,United States,2012.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,United States
Allyson Michelle Felix,F,26.0,168.0,56.0,United States,2012.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,United States
Allyson Michelle Felix,F,30.0,168.0,56.0,United States,2016.0,Summer,Athletics,Athletics Women's 400 metres,Silver,United States
Allyson Michelle Felix,F,30.0,168.0,56.0,United States,2016.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,United States
Allyson Michelle Felix,F,30.0,168.0,56.0,United States,2016.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,United States
Sylviane Flix,F,26.0,174.0,58.0,France,2004.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,France
Heather Rame Fell,F,25.0,169.0,62.0,Great Britain,2008.0,Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver,Great Britain
Maurizio Felugo,M,31.0,189.0,82.0,Italy,2012.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,Italy
Feng Kai,M,23.0,179.0,75.0,China,2002.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,China
Feng Kun,F,25.0,183.0,75.0,China,2004.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,China
Feng Kun,F,29.0,183.0,75.0,China,2008.0,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,China
Feng Shanshan,F,26.0,170.0,85.0,China,2016.0,Summer,Golf,Golf Women's Individual,Bronze,China
Feng Tian Wei,F,21.0,163.0,55.0,Singapore,2008.0,Summer,Table Tennis,Table Tennis Women's Team,Silver,Singapore
Feng Tian Wei,F,25.0,163.0,55.0,Singapore,2012.0,Summer,Table Tennis,Table Tennis Women's Singles,Bronze,Singapore
Feng Tian Wei,F,25.0,163.0,55.0,Singapore,2012.0,Summer,Table Tennis,Table Tennis Women's Team,Bronze,Singapore
Feng Zhe,M,24.0,160.0,58.0,China,2012.0,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold,China
Feng Zhe,M,24.0,160.0,58.0,China,2012.0,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Gold,China
Anna Fenninger (-Veith),F,24.0,166.0,64.0,Austria,2014.0,Winter,Alpine Skiing,Alpine Skiing Women's Super G,Gold,Austria
Anna Fenninger (-Veith),F,24.0,166.0,64.0,Austria,2014.0,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver,Austria
"Peter Thomas ""Pete"" Fenson",M,37.0,182.0,75.0,United States,2006.0,Winter,Curling,Curling Men's Curling,Bronze,United States
Svetlana Yevgenyevna Feofanova,F,24.0,164.0,52.0,Russia,2004.0,Summer,Athletics,Athletics Women's Pole Vault,Silver,Russia
Svetlana Yevgenyevna Feofanova,F,28.0,164.0,52.0,Russia,2008.0,Summer,Athletics,Athletics Women's Pole Vault,Bronze,Russia
Emilie Fer,F,29.0,170.0,63.0,France,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold,France
"Deborah ""Debbie"" Ferguson-McKenzie",F,28.0,168.0,63.0,Bahamas,2004.0,Summer,Athletics,Athletics Women's 200 metres,Bronze,Bahamas
Vanessa de Sousa Fernandes,F,22.0,169.0,55.0,Portugal,2008.0,Summer,Triathlon,Triathlon Women's Olympic Distance,Silver,Portugal
Ana Ivis Fernndez Valle,F,31.0,184.0,80.0,Cuba,2004.0,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,Cuba
Beatriz Fernndez Ibez,F,27.0,180.0,74.0,Spain,2012.0,Summer,Handball,Handball Women's Handball,Bronze,Spain
Begoa Fernndez Molinos,F,32.0,180.0,71.0,Spain,2012.0,Summer,Handball,Handball Women's Handball,Bronze,Spain
Francisco Javier Fernndez Pelez,M,27.0,175.0,60.0,Spain,2004.0,Summer,Athletics,Athletics Men's 20 kilometres Walk,Silver,Spain
Gabriel Diego Fernndez,M,27.0,204.0,111.0,Argentina,2004.0,Summer,Basketball,Basketball Men's Basketball,Gold,Argentina
Jrme Fernandez,M,31.0,199.0,106.0,France,2008.0,Summer,Handball,Handball Men's Handball,Gold,France
Jrme Fernandez,M,35.0,199.0,106.0,France,2012.0,Summer,Handball,Handball Men's Handball,Gold,France
Juan Fernndez la Villa,M,23.0,174.0,73.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Lisa M. Fernandez (-Lujan),F,33.0,167.0,77.0,United States,2004.0,Summer,Softball,Softball Women's Softball,Gold,United States
"Rodolfo ""Rudy"" Fernndez Farrs",M,23.0,196.0,84.0,Spain,2008.0,Summer,Basketball,Basketball Men's Basketball,Silver,Spain
"Rodolfo ""Rudy"" Fernndez Farrs",M,27.0,196.0,84.0,Spain,2012.0,Summer,Basketball,Basketball Men's Basketball,Silver,Spain
"Rodolfo ""Rudy"" Fernndez Farrs",M,31.0,196.0,84.0,Spain,2016.0,Summer,Basketball,Basketball Men's Basketball,Bronze,Spain
Xabier Fernndez Gaztaaga,M,27.0,181.0,81.0,Spain,2004.0,Summer,Sailing,Sailing Mixed Skiff,Gold,Spain
Xabier Fernndez Gaztaaga,M,31.0,181.0,81.0,Spain,2008.0,Summer,Sailing,Sailing Mixed Skiff,Silver,Spain
"Fernanda ""Fernandinha"" Ferreira",F,32.0,172.0,66.0,Brazil,2012.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil
Lyndon Ferns,M,20.0,187.0,87.0,South Africa,2004.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,South Africa
Gillian Ferrari,F,25.0,173.0,73.0,Canada,2006.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Matteo Ferrari,M,24.0,181.0,77.0,Italy,2004.0,Summer,Football,Football Men's Football,Bronze,Italy
Marcelo Bastos Ferreira,M,38.0,181.0,104.0,Brazil,2004.0,Summer,Sailing,Sailing Men's Two Person Keelboat,Gold,Brazil
Beatriz Ferrer-Salat Serra de Migui,F,38.0,176.0,58.0,Spain,2004.0,Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze,Spain
Beatriz Ferrer-Salat Serra de Migui,F,38.0,176.0,58.0,Spain,2004.0,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,Spain
Bjrn Lars Johannes Erik Ferry,M,31.0,194.0,83.0,Sweden,2010.0,Winter,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Gold,Sweden
Sergey Vasilyevich Fesikov,M,23.0,187.0,72.0,Russia,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Russia
Nicole Fessel,F,30.0,170.0,55.0,Germany,2014.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,Germany
"Nicholas David ""Nick"" Ffrost",M,21.0,174.0,70.0,Australia,2008.0,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Australia
Rossella Fiamingo,F,25.0,167.0,50.0,Italy,2016.0,Summer,Fencing,"Fencing Women's epee, Individual",Silver,Italy
Marco Fichera,M,22.0,180.0,74.0,Italy,2016.0,Summer,Fencing,"Fencing Men's epee, Team",Silver,Italy
Jens Fiedler,M,34.0,185.0,94.0,Germany,2004.0,Summer,Cycling,Cycling Men's Team Sprint,Gold,Germany
Jrg Fiedler,M,26.0,193.0,89.0,Germany,2004.0,Summer,Fencing,"Fencing Men's epee, Team",Bronze,Germany
Connor Evan Fields,M,23.0,183.0,88.0,United States,2016.0,Summer,Cycling,Cycling Men's BMX,Gold,United States
Pietro Figlioli,M,28.0,191.0,98.0,Italy,2012.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,Italy
Pietro Figlioli,M,32.0,191.0,98.0,Italy,2016.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Italy
Diego Antonio Figueredo Matiauda,M,22.0,185.0,75.0,Paraguay,2004.0,Summer,Football,Football Men's Football,Silver,Paraguay
scar Albeyro Figueroa Mosquera,M,29.0,159.0,62.0,Colombia,2012.0,Summer,Weightlifting,Weightlifting Men's Featherweight,Silver,Colombia
scar Albeyro Figueroa Mosquera,M,33.0,159.0,62.0,Colombia,2016.0,Summer,Weightlifting,Weightlifting Men's Featherweight,Gold,Colombia
Solenne Nadge Figus (-Saint Marie),F,25.0,178.0,59.0,France,2004.0,Summer,Swimming,Swimming Women's 200 metres Freestyle,Bronze,France
